t,x,v,a,phi,phi_v,phi_a
3.98,0.6196166682135206,0.3975743342973709,0.12164384011889573,7.745208352669013,4.969679178717136,1.5205480014861994
3.99,0.623604557996007,0.398788978248642,0.12128328513145159,7.795056974950093,4.9848622281080255,1.5160410641431366
4.0,0.627604557996007,0.3999999999999999,0.12091940510148835,7.845056974950093,4.999999999999999,1.5114925637686127
4.01,0.6316166316595136,0.4012073663506718,0.12055221000495386,7.895207895743927,5.015092079383398,1.5069026250619455
4.0200000000000005,0.6356407421015147,0.402411044200099,0.1201817099086816,7.945509276268939,5.030138052501238,1.5022713738585214
4.03,0.6396768521070031,0.4036110005488454,0.11980791497011867,7.995960651337545,5.045137506860568,1.4975989371264653
4.04,0.6437249241319981,0.40480720249950136,0.11943083543704547,8.046561551649983,5.060090031243767,1.4928854429630878
4.05,0.647784920304574,0.4059996172575863,0.11905048164729815,8.09731150380718,5.07499521571983,1.4881310205912435
4.0600000000000005,0.6518568024258985,0.4071882121324473,0.11866686402845772,8.148210030323737,5.089852651655592,1.4833358003556896
4.07,0.6559405319712801,0.4083729545381555,0.11827999309758641,8.199256649641006,5.104661931726944,1.478499913719844
4.08,0.6600360700912241,0.40955381199439905,0.11788987946095841,8.250450876140306,5.119422649929989,1.4736234932619663
4.09,0.6641433776124979,0.41073075212737464,0.11749653381373792,8.301792220156228,5.134134401592183,1.4687066726716935
4.1,0.6682624150392046,0.4119037426706738,0.11709996693969049,8.353280187990062,5.148796783383423,1.463749586746177
4.11,0.6723931425538663,0.41307275146616845,0.11670018971089713,8.404914281923334,5.163409393327107,1.4587523713862183
4.12,0.6765355200185152,0.41423774646489175,0.11629721308744623,8.456694000231446,5.177971830811147,1.4537151635930279
4.13,0.6806895069757944,0.4153986957279174,0.11589104811715045,8.508618837197435,5.192483696598967,1.4486381014643612
4.14,0.6848550626500668,0.41655556742723476,0.11548170593523865,8.56068828312584,5.2069445928404345,1.4435213241904776
4.15,0.689032145948533,0.41770832984662215,0.11506919776401447,8.612901824356667,5.221354123082777,1.4383649720501879
4.16,0.6932207154623581,0.41885695138251505,0.11465353491260655,8.66525894327948,5.235711892281438,1.4331691864076124
4.17,0.6974207294678069,0.4200014005448743,0.11423472877662988,8.71775911834759,5.250017506810929,1.4279341097078735
